COD_ERA,ERA,ERA (2),Organización,Caracterización de la Organización,Miembros,Miembros.,Territorio de Influencia,Organización (2)
PASO-E01MIR,"Miranda, Cauca","Miranda, Cauca",CEPRODET,,60,60,5,CEPRODET
PASO-E01MIR,"Miranda, Cauca","Miranda, Cauca",ASPROZONAC,Asociación Pro Zonas de Reserva Campesina del Cauca,26,26,97,ASPROZONAC
PASO-E02BNA,"Buenos Aires, Cauca","Buenos Aires, Cauca",CECOESPE,Cooperativa de excomabatientes,140,140,la Elvira y la Esperanza,CECOESPE
PASO-E03TUL,"Tuluá, Valle","Tuluá, Valle",ASOPROVENUS,,33,33,6 veredas,ASOPROVENUS
PASO-E03TUL,"Tuluá, Valle","Tuluá, Valle",COOMULNES,,33,33,0.5,COOMULNES
PASO-E04LGJ,"Fonseca, La Guajira","Fonseca, La Guajira",COOMPAZCOL,,180,180,,COOMPAZCOL
PASO-E05ITU,"Ituango, Antioquia","Ituango, Antioquia",Cooperativa Agricultura para la paz,Cooperativa creada por excombatientes,250,250,117 veredas de Ituango,Cooperative Agriculture for Peace
PASO-E06DAB,"Dabeiba, Antioquia","Dabeiba, Antioquia",Cooperativa Futuro de Paz,Cooperativa creada por excombatientes,21,21,Godó y Llanogrande,Cooperative Futuro de Paz
PASO-E07MUT,"Mutatá, Antioquia","Mutatá, Antioquia",Cooperativa La Fortuna,Cooperativa creada por excombatientes,45,45,Mutatá,Cooperative La Fortuna
PASO-E07MUT,"Mutatá, Antioquia","Mutatá, Antioquia",Junta de Acción Comunal de San José del León,Organización comunitaria,26,26,San José del León-Mutatá,Community Action Board of San José del León
PASO-E08LPZ,"La Paz, Cesar","La Paz, Cesar",Tierragrata,,100,100,,Tierragrata
PASO-E10FIL,"Arauquita, Arauca","Arauquita, Arauca",AgroPaz,Cooperativa creada por excombatientes,270,270,,ASOVIP
PASO-E12EST,"El Patía, Cauca","El Patía, Cauca",Cooperativa Cendapaz,,,,,Cooperative Cendapaz
PASO-E13SAR,"Saravena, Arauca","Saravena, Arauca",Asociación de padres de familia,,,,,Parents association
PASO-E13SAR,"Saravena, Arauca","Saravena, Arauca",Colegio Concentración de Desarrollo Rural,,,,,Concentración de Desarrollo Rural (School)
PASO-E14PUT,"Puerto Guzmán, Putumayo","Puerto Guzmán, Putumayo",Cooperativa COMUCCOM,,,,,Cooperative COMUCCOM
PASO-E15ANOR,"Anorí, Antioquia","Anorí, Antioquia",Cooperativa COOMULDESNA,,,,,Cooperative COOMULDESNA
PASO-E16BUEN,"Buenaventura, Valle del Cauca","Buenaventura, Valle del Cauca",Asociación de Pescadores Artesanales del Cacao ASOPESARCACAO,Asociación de Pescadores Artesanales del Cacao ASOPESARCACAO,,,,Artisanal Fishermen's Association - ASOPESARCACAO
PASO-E17DAG,"Dagua, Valle del Cauca","Dagua, Valle del Cauca",Cooperativa Multiactiva Agropaz Valle COOPAGROVALLE,Cooperativa Multiactiva Agropaz Valle COOPAGROVALLE,,,,Cooperative COOPAGROVALLE
PASO-E17DAG,"Dagua, Valle del Cauca","Dagua, Valle del Cauca",Asociación Vida Sana,Asociación Vida Sana,,,,Healthy Living Association